shortName,symbol,price,marketCap,averageVolume,revenueGrowth,earningsGrowth,netIncomeToCommon,returnOnEquity,debtToEquity,currentRatio,freeCashflow,forwardPE,pegRatio
S&P Global Inc.,SPGI,528.12,161235042304,1556486,0.088,0.241,4216999936.0,0.119940005,31.784,0.974,4847499776.0,26.477528,
"Salesforce, Inc.",CRM,227.96,217017925632,8030260,0.086,0.386,7222000128.0,0.12184,19.385,0.984,14523750400.0,17.381784,
Sandisk Corporation,SNDK,527.63,77325860864,13094688,0.226,-0.485,-1740000000.0,-0.16181,16.661,3.288,1164125056.0,19.287148,
SBA Communications Corporation,SBAC,184.16,19624642560,823670,0.097,-0.083,856972032.0,,,0.504,205137504.0,21.406982,
SLB Limited,SLB,48.87,73076850688,16602771,0.05,-0.286,3374000128.0,0.13904001,45.975,1.326,2449250048.0,14.599739,
Seagate Technology Holdings PLC,STX,442.93,96502063104,4040516,0.213,0.723,1712999936.0,,,0.979,754875008.0,23.878685,
DBA Sempra,SRE,86.78,56639700992,3732338,0.135,-0.882,2108999936.0,0.0677,81.287,1.587,-23343874048.0,17.012983,
"ServiceNow, Inc.",NOW,129.62,136767627264,10054483,0.218,0.159,1731000064.0,0.16813,21.255,1.063,3909874944.0,26.465052,
Sherwin-Williams Company (The),SHW,349.6,87166926848,1775075,0.032,0.053,2571800064.0,0.59939,325.153,0.822,1919149952.0,28.233624,
"Simon Property Group, Inc.",SPG,183.76,69315559424,1420660,0.082,0.274,2243237120.0,0.82455003,884.863,0.592,2034491136.0,26.699598,
"Skyworks Solutions, Inc.",SWKS,55.28,8288143360,3234810,0.073,1.545,477100000.0,0.0789,20.898,2.325,1055275008.0,10.918816,
The J.M. Smucker Company,SJM,103.36,11027926016,1606340,0.026,,-1193799936.0,-0.17438,131.357,0.885,322062496.0,10.457559,
Smurfit WestRock plc,SW,42.41,22145923072,5345771,0.043,,748000000.0,0.04099,76.445,1.482,1226499968.0,14.126778,
Snap-On Incorporated,SNA,370.07,19304099840,276675,0.036,0.068,1014300032.0,0.18330999,22.27,4.399,699225024.0,18.040464,
Solventum Corporation,SOLV,76.6,13286082560,1073638,0.007,9.314,1524000000.0,0.37271,103.028,1.5,587750016.0,12.075125,
Southern Company (The),SO,88.33,97260601344,5980115,0.075,0.108,4458999808.0,0.11429,192.679,0.755,-2364624896.0,19.371548,
Southwest Airlines Company,LUV,40.86,21459169280,9033196,0.012,-0.091,379000000.0,0.04168,67.618,0.491,-13625000.0,10.199777,
"Stanley Black & Decker, Inc.",SWK,79.32,12285474816,1691140,0.001,-0.434,438600000.0,0.04918,78.538,1.109,493750016.0,14.10818,
Starbucks Corporation,SBUX,95.16,108415787008,10188855,0.055,-0.854,1856400000.0,,,0.723,1924950016.0,32.10277,
State Street Corporation,STT,128.02,35757580288,2024420,0.076,-0.012,2716999936.0,0.11078,,,,9.835769,
"Steel Dynamics, Inc.",STLD,174.38,25669537792,1255235,0.14,0.35,1185595008.0,0.13284001,47.155,3.055,-85246624.0,11.376521,
STERIS plc (Ireland),STE,260.86,25692258304,615443,0.099,0.286,689324032.0,0.101339996,29.314,2.37,968027264.0,23.428207,
Stryker Corporation,SYK,357.83,136842649600,1773986,0.102,0.028,2943000064.0,0.14036,78.646,1.849,3544375040.0,23.947994,
"Super Micro Computer, Inc.",SMCI,31.21,18631469056,27168750,-0.155,-0.616,792812032.0,0.12787,79.184,5.394,-1515875.0,10.498802,
Synchrony Financial,SYF,73.42,26443761664,3732758,0.207,0.474,3492000000.0,0.21636999,,,,7.032944,
"Synopsys, Inc.",SNPS,511.35,97830567936,2086246,0.378,-0.665,1336120064.0,0.0716,50.459,1.615,2170938624.0,30.281622,
Sysco Corporation,SYY,83.51,39995498496,3381280,0.032,0.0,1814000000.0,0.8346,690.715,1.148,1612000000.0,16.410484,
"T-Mobile US, Inc.",TMUS,186.25,209609293824,5291726,0.089,-0.077,11870000128.0,0.19034,200.622,0.893,7874874880.0,15.215185,
"T. Rowe Price Group, Inc.",TROW,105.25,23125028864,1762386,0.06,0.087,2030599936.0,0.1867,4.09,3.81,923412480.0,10.217703,
"Take-Two Interactive Software, ",TTWO,243.18,44934516736,1534098,0.311,,-3997199872.0,-0.86609,102.325,1.154,1480199936.0,30.675766,
"Tapestry, Inc.",TPR,126.0,26082693120,2949916,0.131,0.62,271400000.0,0.16053,1051.139,1.525,867637504.0,19.996,
"Targa Resources, Inc.",TRGP,201.13,43281539072,1486133,0.078,0.257,1615299968.0,0.4985,615.121,0.773,-48325000.0,20.132046,
Target Corporation,TGT,101.74,46230568960,7141793,-0.016,-0.184,3763000064.0,0.25094998,132.062,0.975,2597125120.0,13.27145,
TE Connectivity plc,TEL,221.77,65097367552,2003508,0.217,0.444,2066000000.0,0.16097,45.691,1.651,1979374976.0,17.953989,
Teledyne Technologies Incorpora,TDY,620.31,29124167680,377043,0.073,0.391,894800000.0,0.08926,23.544,1.643,717287488.0,24.113102,
"Teradyne, Inc.",TER,250.48,39844737024,3082496,0.043,-0.157,443080000.0,0.15767999,9.89,1.759,322310016.0,47.996445,
"Tesla, Inc.",TSLA,431.46,1434957905920,74596800,0.116,-0.371,5079000064.0,0.06791,17.082,2.066,2979249920.0,143.26318,
Texas Instruments Incorporated,TXN,216.17,196417044480,7237695,0.104,-0.031,5000999936.0,0.30148,86.327,4.353,-591875008.0,27.411278,
Texas Pacific Land Corporation,TPL,354.78,24457906176,412086,0.17,0.138,476390016.0,0.3937,1.292,10.857,92442376.0,4.852024,
Textron Inc.,TXT,86.79,15466437632,1410856,0.051,0.105,828000000.0,0.11465,55.332,1.838,727500032.0,11.477032,
Thermo Fisher Scientific Inc,TMO,608.02,228438032384,1857351,0.049,0.005,6569999872.0,0.13116999,69.75,1.498,4696750080.0,24.63815,
"TJX Companies, Inc. (The)",TJX,147.79,164481204224,5395186,0.075,0.123,5119000064.0,0.58396,140.977,1.094,3411375104.0,28.618896,
"TKO Group Holdings, Inc.",TKO,194.88,16006837248,1147660,-0.273,0.65,228783008.0,0.08129,42.785,1.456,542332032.0,50.845337,
"The Trade Desk, Inc.",TTD,31.87,15582610432,13133005,0.177,0.211,438583008.0,0.16783,14.456,1.71,543604096.0,15.282439,
Tractor Supply Company,TSCO,55.14,29136173056,6032643,0.072,0.088,1105085952.0,0.45459,222.382,1.301,812693632.0,23.93946,
Trane Technologies plc,TT,394.2,87715561472,1442175,0.055,0.114,2950400000.0,0.3721,55.305,1.205,1928337536.0,26.644659,
Transdigm Group Incorporated,TDG,1412.13,79718039552,320561,0.115,0.34,1866000000.0,,,3.214,-2922125056.0,30.646181,
"The Travelers Companies, Inc.",TRV,282.04,62912811008,1496500,0.035,0.234,6241999872.0,0.20698999,28.172,0.37,10356500480.0,9.983671,
Trimble Inc.,TRMB,70.07,16674493440,1448916,0.029,1.875,357600000.0,0.06131,24.038,1.004,567412480.0,20.270603,
Truist Financial Corporation,TFC,50.31,64358883328,8363788,0.032,0.108,4974000128.0,0.08236,,,,9.905611,
"Tyler Technologies, Inc.",TYL,419.12,18131890176,394360,0.097,0.109,315292992.0,0.091680005,17.86,1.028,474560640.0,33.358803,
"Tyson Foods, Inc.",TSN,64.6,22807472128,3135448,0.022,-0.87,474000000.0,0.0276,53.19,1.552,1187500032.0,14.6548395,
U.S. Bancorp,USB,55.74,86675709952,9359685,0.053,0.243,7193999872.0,0.12184,,,,10.176269,
"Uber Technologies, Inc.",UBER,79.78,166374703104,19357440,0.204,1.585,16640000000.0,0.72994006,45.755,1.154,6787375104.0,20.644325,
"UDR, Inc.",UDR,36.43,13715495936,3377843,0.066,0.976,144932992.0,0.03649,144.858,0.159,912611904.0,65.05357,
"Ulta Beauty, Inc.",ULTA,638.21,28616292352,659236,0.129,0.0,1190072064.0,0.47967,97.784,1.328,975341888.0,22.410051,
Union Pacific Corporation,UNP,227.71,135068672000,3080116,0.025,0.095,7052000256.0,0.41619,189.829,0.748,4491375104.0,16.737156,
"United Airlines Holdings, Inc.",UAL,104.91,33963352064,5256813,0.048,0.083,3352999936.0,0.23987,203.089,0.645,916124992.0,6.8647866,
"United Parcel Service, Inc.",UPS,103.7,87977582592,6082245,-0.032,0.047,5571999744.0,0.33772,175.884,1.219,4733875200.0,13.06246,
"United Rentals, Inc.",URI,903.19,58112352256,625665,0.059,0.02,2529999872.0,0.28781,169.022,0.898,1980625024.0,16.71677,
UnitedHealth Group Incorporated,UNH,294.02,266334650368,8247760,0.122,-0.602,17589000192.0,0.17476,75.734,0.823,17768749056.0,14.492639,
"Universal Health Services, Inc.",UHS,203.02,12919927808,704640,0.134,0.542,1375251968.0,0.20028,70.037,1.031,839419520.0,8.681144,
Valero Energy Corporation,VLO,184.02,57166135296,3057406,-0.032,2.096,1491000064.0,0.052389998,39.561,1.596,3453750016.0,15.164938,
"Ventas, Inc.",VTR,75.92,35662114816,3088380,0.218,2.016,238014000.0,0.021559998,100.11,0.524,1068934720.0,134.37167,
Veralto Corp,VLTO,98.72,24511913984,1647603,0.068,0.08,913000000.0,0.37978,100.772,1.568,856750016.0,23.617113,
"VeriSign, Inc.",VRSN,253.5,23679078400,797058,0.073,0.097,811000000.0,,,0.527,794837504.0,26.177092,
"Verisk Analytics, Inc.",VRSK,219.03,30601771008,1412126,0.059,0.045,914700032.0,2.68133,1295.046,1.193,901662528.0,28.423637,
Verizon Communications Inc.,VZ,39.41,166169329664,26979136,0.015,0.5,19836999680.0,0.19875,164.799,0.739,15382375424.0,8.263891,
Vertex Pharmaceuticals Incorpor,VRTX,477.91,122531659776,1436728,0.11,0.047,3675099904.0,0.22307,10.594,2.362,2913550080.0,23.66129,
Viatris Inc.,VTRS,12.97,14973440000,8900853,0.002,,-3691300096.0,-0.21087,97.03,1.351,2727024896.0,5.2284265,
VICI Properties Inc.,VICI,27.89,29809149952,12264241,0.044,0.014,2785319936.0,0.10357001,62.925,37.05,1279214592.0,9.7688265,
Visa Inc.,V,326.98,631037820928,6906111,0.115,-0.014,19853000704.0,0.52068,68.807,1.078,20072873984.0,22.645033,
Vistra Corp.,VST,165.64,56123056128,4910506,-0.209,-0.667,960000000.0,0.1731,335.784,0.995,1847000064.0,17.609325,
Vulcan Materials Company (Holdi,VMC,299.73,39603597312,1049370,0.144,0.808,1125200000.0,0.13520999,56.296,2.231,931337472.0,30.515694,
W.R. Berkley Corporation,WRB,67.67,25716033536,3085546,0.015,-0.217,1779403008.0,0.19600001,31.481,,,13.926131,
"W.W. Grainger, Inc.",GWW,1070.01,51180978176,279420,0.061,-0.38,1730000000.0,0.46719003,68.67,2.717,1084375040.0,24.404959,
Westinghouse Air Brake Technolo,WAB,228.89,39130390528,801551,0.084,0.11,1176000000.0,0.11147001,51.131,1.424,1084999936.0,22.400051,
Walmart Inc.,WMT,116.57,929395245056,28712943,0.058,0.352,22909999104.0,0.23661,66.747,0.803,10372750336.0,39.24361,
Walt Disney Company (The),DIS,109.56,195596238848,10968438,-0.005,1.873,12403999744.0,0.12203,39.632,0.71,6932624896.0,14.937053,
"Warner Bros. Discovery, Inc. - ",WBD,27.98,69376040960,44182766,-0.06,,489000000.0,0.00969,89.857,1.074,17235124224.0,-143.75995,
"Waste Management, Inc.",WM,231.6,93304012800,2027533,0.149,-0.207,2564000000.0,0.29328,245.399,0.843,1471250048.0,24.392788,
Waters Corporation,WAT,385.03,22927642624,557053,0.08,-0.077,648812992.0,0.32987,66.042,1.534,450262752.0,26.902468,
"WEC Energy Group, Inc.",WEC,110.04,35795378176,2161563,0.129,0.093,1694400000.0,0.12807,151.448,0.498,-1424775040.0,19.683743,
Wells Fargo & Company,WFC,88.03,276333592576,14710941,0.05,0.13,20284999680.0,0.11732,,,,11.177561,
Welltower Inc.,WELL,183.94,126243184640,3426253,0.306,-0.437,960374976.0,0.0275,46.211,6.991,-2739590656.0,84.376144,
"West Pharmaceutical Services, I",WST,235.89,16970730496,769681,0.077,0.038,491700000.0,0.16945,9.93,2.87,251187504.0,30.420658,
Western Digital Corporation,WDC,279.7,95879913472,8692081,,,2600999936.0,0.29707,,1.213,4158874880.0,25.82355,
Weyerhaeuser Company,WY,26.05,18795360256,7322145,0.021,1.859,331000000.0,0.03419,58.233,1.227,-15875000.0,111.073204,
"Williams-Sonoma, Inc.",WSM,205.72,24558999552,1211161,0.046,0.048,1131134976.0,0.56918997,70.88,1.427,930350528.0,22.478466,
"Williams Companies, Inc. (The)",WMB,66.92,81723957248,7169900,0.083,-0.085,2367000064.0,0.16902,188.338,0.422,484375008.0,29.837435,
Willis Towers Watson Public Lim,WTW,314.33,30662258688,631546,-0.0,,2116000000.0,0.27633,75.685,1.104,1958125056.0,16.273432,
"Workday, Inc.",WDAY,189.12,50495037440,2941265,0.126,0.306,642000000.0,0.073359996,42.719,1.829,2698874880.0,17.625069,
"Wynn Resorts, Limited",WYNN,112.88,11736869888,1435460,0.083,,504278016.0,,,1.757,1633731584.0,19.396854,
Xcel Energy Inc.,XEL,76.01,44962938880,5446278,0.074,-0.272,1915000064.0,0.09449001,167.891,0.795,-5284624896.0,18.467947,
Xylem Inc.,XYL,135.52,32994926592,1290656,0.078,0.045,948000000.0,0.08555,18.253,1.957,960000000.0,24.394941,
"Yum! Brands, Inc.",YUM,153.88,42725220352,2183818,0.084,0.044,1447000064.0,,,1.694,1227624960.0,23.018562,
Zebra Technologies Corporation,ZBRA,236.23,12011150336,651161,0.052,-0.254,512000000.0,0.14286,62.984,1.607,710499968.0,13.37196,
"Zimmer Biomet Holdings, Inc.",ZBH,85.71,16986140672,2297126,0.097,-0.057,805299968.0,0.06421,64.523,2.428,1169887488.0,10.121586,
Zoetis Inc.,ZTS,121.93,54037364736,5339915,0.005,0.085,2651000064.0,0.49868,135.05,3.643,2158874880.0,17.930408,
